gene,gene_symbol,gene_label,mean_abs_shap
1559515_at,,1559515_at,0.0013062890283582
200811_at,CIRBP,CIRBP,0.0013051948285253
218609_s_at,NUDT2,NUDT2,0.0013042618756904
204977_at,DDX10,DDX10,0.0013034533872258
1553313_s_at,SLC5A3,SLC5A3,0.0012669010194881
201600_at,PHB2,PHB2,0.0012662944651735
200875_s_at,MIR1292|NOP56|SNORD110|SNORD57|SNORD86,MIR1292|NOP56|SNORD110|SNORD57|SNORD86,0.0012644048483072
236338_at,,236338_at,0.0012642194705541
229663_at,LOC100507577|LONP2,LOC100507577|LONP2,0.0012588555895994
220155_s_at,BRD9,BRD9,0.0012482434205382
201837_s_at,SUPT7L,SUPT7L,0.0012346464956569
218415_at,VPS33B,VPS33B,0.0012288643429081
226879_at,HVCN1,HVCN1,0.0012236075295589
224628_at,ERLEC1,ERLEC1,0.0012179402029323
222513_s_at,SORBS1,SORBS1,0.0012170926863571
202942_at,ETFB,ETFB,0.0011946602274985
211983_x_at,ACTB|ACTG1,ACTB|ACTG1,0.0011905120356468
1555272_at,RSPH10B|RSPH10B2,RSPH10B|RSPH10B2,0.0011885941080651
227260_at,,227260_at,0.0011879675375784
202868_s_at,POP4,POP4,0.001187091322822
208549_x_at,PTMA,PTMA,0.0011820037764536
202178_at,PRKCZ,PRKCZ,0.0011815598505983
201481_s_at,PYGB,PYGB,0.0011661404397424
239179_at,,239179_at,0.0011610970728859
244610_x_at,,244610_x_at,0.001160325154355
201090_x_at,TUBA1B,TUBA1B,0.0011592807031508
212119_at,RHOQ,RHOQ,0.0011576169425316
