gene,gene_symbol,gene_label,F_score,p_value
214728_x_at,SMARCA4,SMARCA4,29.461016298367344,6.562822675063409e-07
200802_at,SARS,SARS,29.435836038674083,6.624523611512433e-07
208813_at,GOT1,GOT1,29.415113649287225,6.675748353950282e-07
36907_at,MVK,MVK,29.39258141236611,6.731909317323942e-07
207789_s_at,DPP6,DPP6,29.37759843657422,6.769522659385554e-07
1554671_a_at,SRRM2,SRRM2,29.374837052824084,6.776478398870649e-07
201728_s_at,KIAA0100,KIAA0100,29.365257832619253,6.800664821179758e-07
219375_at,CEPT1,CEPT1,29.35238151842642,6.833315935697719e-07
243005_at,,243005_at,29.32687814642475,6.898462727895651e-07
243233_at,,243233_at,29.320845251093186,6.913966569183655e-07
239497_at,,239497_at,29.318272096567267,6.92059017232047e-07
222425_s_at,POLDIP2,POLDIP2,29.29853154183865,6.971622198548378e-07
208906_at,BSCL2|HNRNPUL2-BSCL2,BSCL2|HNRNPUL2-BSCL2,29.29589791423799,6.978459677593199e-07
234562_x_at,,234562_x_at,29.281299088425463,7.016486693464631e-07
1316_at,THRA,THRA,29.215312454556265,7.191044962837717e-07
50221_at,TFEB,TFEB,29.204078893972405,7.221203629773938e-07
243988_at,,243988_at,29.187972231614765,7.264672156914364e-07
235213_at,ITPKB,ITPKB,29.17432393532877,7.301716607238053e-07
205738_s_at,FABP3,FABP3,29.14802838371576,7.373637029293715e-07
202433_at,SLC35B1,SLC35B1,29.142665220683288,7.388394911815105e-07
205594_at,ZNF652,ZNF652,29.11427944505705,7.467011702730654e-07
213476_x_at,TUBB3,TUBB3,29.063567198907524,7.609611392525442e-07
1556950_s_at,SERPINB6,SERPINB6,29.052789884003477,7.640275591950804e-07
1562062_at,,1562062_at,29.029477594327524,7.707040387498278e-07
208722_s_at,ANAPC5,ANAPC5,29.018021316103756,7.74006992422184e-07
212033_at,RBM25,RBM25,29.01039251704415,7.762145172857531e-07
220744_s_at,IFT122|LOC101927266,IFT122|LOC101927266,28.98421249049372,7.838395114484169e-07
222621_at,DNAJC1,DNAJC1,28.967655458354272,7.887015014564631e-07
230713_at,,230713_at,28.960617290837288,7.907776488622268e-07
209268_at,VPS45,VPS45,28.91396332785108,8.046826598271405e-07
214707_x_at,ALMS1,ALMS1,28.91366701337459,8.047717740010563e-07
204216_s_at,ZC3H14,ZC3H14,28.876983324957425,8.158828614658219e-07
242428_at,,242428_at,28.85041187517691,8.240294742980307e-07
222594_s_at,SPATS2,SPATS2,28.82367762712943,8.323104349866915e-07
237072_at,,237072_at,28.82289710325469,8.325534845754622e-07
243329_at,,243329_at,28.791594588425305,8.42361259368452e-07
233152_x_at,,233152_x_at,28.77361634986865,8.48047874660094e-07
229319_at,BC022047,BC022047,28.7583767082582,8.528991629160362e-07
243184_at,,243184_at,28.729551821016717,8.621532722547761e-07
214548_x_at,GNAS,GNAS,28.70972188759239,8.685794801161958e-07
203413_at,NELL2,NELL2,28.64624619863859,8.894829346561541e-07
211962_s_at,ZFP36L1,ZFP36L1,28.645864211893464,8.896102821844278e-07
1552362_a_at,LEAP2,LEAP2,28.64130942531095,8.911302116404689e-07
237790_at,SCN8A,SCN8A,28.635398281121144,8.93106738996547e-07
243593_s_at,,243593_s_at,28.613942539253348,9.003189165306977e-07
225905_s_at,ST3GAL3,ST3GAL3,28.609649607178344,9.017691267572944e-07
43427_at,ACACB,ACACB,28.596222920838223,9.063203656477236e-07
203813_s_at,SLIT3,SLIT3,28.581127981101663,9.114653052600736e-07
1558732_at,MAP4K4,MAP4K4,28.542405649263635,9.24801157460318e-07
201502_s_at,NFKBIA,NFKBIA,28.514732060703857,9.344546563374596e-07
234086_at,,234086_at,28.50925868871831,9.363761974497662e-07
1566079_at,RPS16P5,RPS16P5,28.50827026297107,9.367236377535536e-07
209225_x_at,TNPO1,TNPO1,28.473856510526904,9.489033929159778e-07
222380_s_at,PDCD6,PDCD6,28.461909222114333,9.531697717967548e-07
239102_s_at,,239102_s_at,28.42480514820737,9.665458286390938e-07
231825_x_at,ATF7IP,ATF7IP,28.40563029352838,9.735338814683172e-07
1554500_a_at,RGS7,RGS7,28.39865307621535,9.760895201319637e-07
235327_x_at,UBXN2A,UBXN2A,28.349323134370454,9.943561856552189e-07
209818_s_at,HABP4,HABP4,28.33658423666992,9.991302052046108e-07
