gene,gene_symbol,gene_label,abs_coef,rank_abs_coef,importance_mean,rank_perm,rank_combined
212271_at,MAPK1,MAPK1,0.0124625711740402,1117,0.0,1512,1314.5
211679_x_at,GABBR2,GABBR2,0.0142276744020882,1009,0.0,1622,1315.5
204229_at,SLC17A7,SLC17A7,0.0076891363730925,1453,0.0,1184,1318.5
231327_at,,231327_at,0.002227358148145,1860,0.0,778,1319.0
214167_s_at,RPLP0,RPLP0,0.0159912233739043,915,0.0,1724,1319.5
244197_x_at,,244197_x_at,7.207618691176568e-05,1994,0.0,645,1319.5
1554250_s_at,STAG3L2|STAG3L3|TRIM73,STAG3L2|STAG3L3|TRIM73,0.0094609202731681,1321,0.0,1325,1323.0
200647_x_at,EIF3C|EIF3CL,EIF3C|EIF3CL,0.0117911629036886,1166,0.0,1481,1323.5
203816_at,DGUOK,DGUOK,0.0071139758960684,1509,0.0,1138,1323.5
215341_at,DNAH6,DNAH6,0.0150137048051384,975,0.0,1672,1323.5
211073_x_at,RNU86|RPL3|SNORD83B,RNU86|RPL3|SNORD83B,0.0132762418454411,1067,0.0,1581,1324.0
209268_at,VPS45,VPS45,0.0206703942876961,709,0.0,1939,1324.0
200862_at,DHCR24,DHCR24,0.0104034517994532,1262,0.0,1386,1324.0
215404_x_at,FGFR1,FGFR1,0.0147346105969868,982,0.0,1669,1325.5
242920_at,,242920_at,0.0010849318119656,1933,0.0,719,1326.0
235019_at,CPM,CPM,0.0047978305050724,1666,0.0,987,1326.5
243618_s_at,ZNF827,ZNF827,0.0011658076195804,1930,0.0,723,1326.5
203159_at,GLS,GLS,0.0081880923943205,1417,0.0,1238,1327.5
209265_s_at,METTL3,METTL3,0.0205332772967617,718,0.0,1940,1329.0
212252_at,CAMKK2,CAMKK2,0.0121318373475514,1144,0.0,1515,1329.5
200657_at,SLC25A5,SLC25A5,0.0116370724504947,1182,0.0,1479,1330.5
204216_s_at,ZC3H14,ZC3H14,0.0074931705341498,1475,0.0,1187,1331.0
236000_s_at,,236000_s_at,0.0033433610600186,1785,0.0,878,1331.5
1556641_at,SLC7A14,SLC7A14,0.0095221973106324,1317,0.0,1348,1332.5
242372_s_at,MFSD4,MFSD4,0.0007071917232696,1951,0.0,715,1333.0
