gene,gene_display,gene_symbol,gene_label,coeficiente,odds_ratio,abs_coef
61874_at,CACFD1 (61874_at),CACFD1,CACFD1,0.0105540082868302,1.0106098982803913,0.0105540082868302
235716_at,235716_at,,235716_at,-0.0105281310401931,0.989527095749859,0.0105281310401931
225779_at,SLC27A4 (225779_at),SLC27A4,SLC27A4,0.0104812131349165,1.0105363334569342,0.0104812131349165
204823_at,NAV3 (204823_at),NAV3,NAV3,0.0104384932565203,1.0104931643897492,0.0104384932565203
201704_at,ENTPD6 (201704_at),ENTPD6,ENTPD6,0.0104341575096808,1.010488783156703,0.0104341575096808
200862_at,DHCR24 (200862_at),DHCR24,DHCR24,-0.0104034517994532,0.9896504769282248,0.0104034517994532
202471_s_at,IDH3G (202471_s_at),IDH3G,IDH3G,0.0103635850639979,1.010417473008236,0.0103635850639979
232386_at,VPS13C (232386_at),VPS13C,VPS13C,0.0103501199089023,1.01040386767185,0.0103501199089023
225295_at,SLC39A10 (225295_at),SLC39A10,SLC39A10,0.0103444347533034,1.010398123384973,0.0103444347533034
211025_x_at,COX5B (211025_x_at),COX5B,COX5B,0.0102959853593394,1.0103491713940895,0.0102959853593394
243593_s_at,243593_s_at,,243593_s_at,-0.0102564922541078,0.9897959261996824,0.0102564922541078
227849_at,RP9 (227849_at),RP9,RP9,-0.0102426756420912,0.9898096019204462,0.0102426756420912
210715_s_at,SPINT2 (210715_s_at),SPINT2,SPINT2,0.0102158963057421,1.010268256725383,0.0102158963057421
214737_x_at,HNRNPC (214737_x_at),HNRNPC,HNRNPC,-0.0102069901290164,0.989844924414184,0.0102069901290164
215780_s_at,SET|SETP4|SETSIP (215780_s_at),SET|SETP4|SETSIP,SET|SETP4|SETSIP,0.0101786174992546,1.0102305958325206,0.0101786174992546
201971_s_at,ATP6V1A (201971_s_at),ATP6V1A,ATP6V1A,0.0101762925877473,1.0102282471385136,0.0101762925877473
224851_at,CDK6 (224851_at),CDK6,CDK6,-0.0101426723790218,0.9899085910599916,0.0101426723790218
218651_s_at,LARP6 (218651_s_at),LARP6,LARP6,-0.0101315951118235,0.9899195566026908,0.0101315951118235
37796_at,LRCH4|SAP25 (37796_at),LRCH4|SAP25,LRCH4|SAP25,-0.0101287000864766,0.9899224224490468,0.0101287000864766
212491_s_at,DNAJC8 (212491_s_at),DNAJC8,DNAJC8,-0.0101150173771082,0.9899359673625158,0.0101150173771082
203033_x_at,FH (203033_x_at),FH,FH,-0.010111572488205,0.9899393775878188,0.010111572488205
201135_at,ECHS1 (201135_at),ECHS1,ECHS1,-0.0100655497166962,0.98998493839001,0.0100655497166962
201526_at,ARF5 (201526_at),ARF5,ARF5,-0.0100405304445975,0.9900097074024072,0.0100405304445975
235225_at,SCN2B (235225_at),SCN2B,SCN2B,0.0100224257851574,1.0100728185062002,0.0100224257851574
238622_at,RAP2B (238622_at),RAP2B,RAP2B,0.0100213704910661,1.0100717525828855,0.0100213704910661
211452_x_at,LRRFIP1 (211452_x_at),LRRFIP1,LRRFIP1,-0.0100204299411444,0.9900296072959478,0.0100204299411444
222430_s_at,YTHDF2 (222430_s_at),YTHDF2,YTHDF2,-0.010013877514245,0.990036094413831,0.010013877514245
211750_x_at,TUBA1C (211750_x_at),TUBA1C,TUBA1C,-0.0100127732946868,0.9900371876316534,0.0100127732946868
233204_at,233204_at,,233204_at,0.0100070820292391,1.010057320314314,0.0100070820292391
208610_s_at,SRRM2 (208610_s_at),SRRM2,SRRM2,0.009982233570693,1.0100322222586862,0.009982233570693
218557_at,NIT2 (218557_at),NIT2,NIT2,-0.0099680690639368,0.990081447471834,0.0099680690639368
232347_x_at,232347_x_at,,232347_x_at,-0.0099607050013915,0.990088738520384,0.0099607050013915
210404_x_at,CAMK2B (210404_x_at),CAMK2B,CAMK2B,-0.009915429890539,0.9901335659125492,0.009915429890539
215628_x_at,215628_x_at,,215628_x_at,-0.0098924744562018,0.990156295119485,0.0098924744562018
213512_at,C14orf79 (213512_at),C14orf79,C14orf79,-0.009866277571878,0.9901822344691744,0.009866277571878
206792_x_at,LOC729966|PDE4C (206792_x_at),LOC729966|PDE4C,LOC729966|PDE4C,-0.0098436005872728,0.990204689071062,0.0098436005872728
216187_x_at,216187_x_at,,216187_x_at,0.0098306608090467,1.0098791404872132,0.0098306608090467
228959_at,PDK3 (228959_at),PDK3,PDK3,-0.0098214057816486,0.990226666715558,0.0098214057816486
235537_at,OCIAD1 (235537_at),OCIAD1,OCIAD1,0.0098187888597209,1.0098671513243995,0.0098187888597209
218125_s_at,CCDC25 (218125_s_at),CCDC25,CCDC25,-0.0097994047319619,0.990248452981313,0.0097994047319619
200754_x_at,MIR636|SRSF2 (200754_x_at),MIR636|SRSF2,MIR636|SRSF2,-0.0097480522285938,0.9902993060240344,0.0097480522285938
212581_x_at,GAPDH (212581_x_at),GAPDH,GAPDH,-0.0097385989772757,0.990308667616503,0.0097385989772757
225923_at,VAPB (225923_at),VAPB,VAPB,0.0097321036847776,1.0097796146078404,0.0097321036847776
1568603_at,CADPS (1568603_at),CADPS,CADPS,0.0097251989464047,1.009772642367858,0.0097251989464047
223193_x_at,FAM162A (223193_x_at),FAM162A,FAM162A,-0.0096812251933415,0.990365487001983,0.0096812251933415
205591_at,OLFM1 (205591_at),OLFM1,OLFM1,0.0096614921054913,1.0097083149918409,0.0096614921054913
201214_s_at,PPP1R7 (201214_s_at),PPP1R7,PPP1R7,-0.0096554175571176,0.9903910463240116,0.0096554175571176
228456_s_at,CDS2 (228456_s_at),CDS2,CDS2,-0.0096489377963183,0.9903974638418817,0.0096489377963183
228544_s_at,CSRP2BP|PET117 (228544_s_at),CSRP2BP|PET117,CSRP2BP|PET117,-0.0096476356110983,0.9903987535236608,0.0096476356110983
202074_s_at,OPTN (202074_s_at),OPTN,OPTN,0.0096319663543876,1.0096785030355573,0.0096319663543876
240765_at,240765_at,,240765_at,-0.0096235645407859,0.990422593768623,0.0096235645407859
229961_x_at,YJEFN3 (229961_x_at),YJEFN3,YJEFN3,0.00959401781617,1.0096401879393029,0.00959401781617
240139_at,240139_at,,240139_at,0.0095913795855469,1.0096375242791542,0.0095913795855469
200941_at,HSBP1 (200941_at),HSBP1,HSBP1,-0.0095902156367272,0.9904556238274352,0.0095902156367272
224567_x_at,MALAT1 (224567_x_at),MALAT1,MALAT1,-0.0095801367322993,0.9904656065853154,0.0095801367322993
224594_x_at,ACTB (224594_x_at),ACTB,ACTB,0.0095650868279835,1.0096109784734844,0.0095650868279835
226377_at,NFIC (226377_at),NFIC,NFIC,-0.0095555646620539,0.9904899446747936,0.0095555646620539
219408_at,PRMT7 (219408_at),PRMT7,PRMT7,0.0095488429035098,1.009594578562202,0.0095488429035098
230064_at,230064_at,,230064_at,0.0095470727525689,1.0095927914289906,0.0095470727525689
216080_s_at,FADS3 (216080_s_at),FADS3,FADS3,0.0095376429121577,1.0095832711749744,0.0095376429121577
1556641_at,SLC7A14 (1556641_at),SLC7A14,SLC7A14,-0.0095221973106324,0.990522995252259,0.0095221973106324
222796_at,ATP5J2-PTCD1|PTCD1 (222796_at),ATP5J2-PTCD1|PTCD1,ATP5J2-PTCD1|PTCD1,-0.0094909089104848,0.990553987616938,0.0094909089104848
232215_x_at,PRR11 (232215_x_at),PRR11,PRR11,-0.0094770740072729,0.9905676919302816,0.0094770740072729
218105_s_at,MRPL4 (218105_s_at),MRPL4,MRPL4,0.0094672527906023,1.0095122089868636,0.0094672527906023
1554250_s_at,STAG3L2|STAG3L3|TRIM73 (1554250_s_at),STAG3L2|STAG3L3|TRIM73,STAG3L2|STAG3L3|TRIM73,-0.0094609202731681,0.9905836934266314,0.0094609202731681
239449_at,239449_at,,239449_at,-0.0094592031328489,0.9905853943992912,0.0094592031328489
202257_s_at,CD2BP2 (202257_s_at),CD2BP2,CD2BP2,-0.0094386540994525,0.990605750180788,0.0094386540994525
219338_s_at,LRRC49 (219338_s_at),LRRC49,LRRC49,0.0094383368476458,1.0094830184114532,0.0094383368476458
202120_x_at,AP2S1 (202120_x_at),AP2S1,AP2S1,0.0094321642086274,1.0094767872564163,0.0094321642086274
202942_at,ETFB (202942_at),ETFB,ETFB,0.0094223973768961,1.0094669279146462,0.0094223973768961
223107_s_at,ZCCHC17 (223107_s_at),ZCCHC17,ZCCHC17,-0.0094113499148627,0.9906327982323074,0.0094113499148627
