gene,mean_abs_shap
238558_at,0.006843719443807914
211993_at,0.006476973824506511
203146_s_at,0.006225248827182918
222125_s_at,0.005611394214733787
200629_at,0.004973162941229289
1558732_at,0.004388916086621764
202517_at,0.0040985984441161685
242829_x_at,0.003994650482993624
213045_at,0.003965916936464974
224689_at,0.0036282909840776177
212923_s_at,0.003479629020641525
231735_s_at,0.0033650895621861587
218953_s_at,0.003361731283908807
209159_s_at,0.003207260425388271
230296_at,0.0031743846616577127
210976_s_at,0.003116989062769764
211752_s_at,0.0028500355828646675
234562_x_at,0.002815947302971677
223206_s_at,0.002782337686544345
200039_s_at,0.0026819436018076445
201632_at,0.002658802051527702
223272_s_at,0.002657914742499882
243648_at,0.0026475970399367525
201635_s_at,0.0025719363501221526
211921_x_at,0.0025458746620995046
209268_at,0.002523658140135349
202041_s_at,0.0024948437295965976
207084_at,0.002489920305099104
202433_at,0.0024189366739134264
201704_at,0.002329035388165598
223134_at,0.0023246528515519097
225507_at,0.0022877540752456282
206652_at,0.002234834753089791
1556007_s_at,0.0022293608236375437
219549_s_at,0.002185236188508642
238642_at,0.0021822657228798364
242712_x_at,0.002167941241849128
212361_s_at,0.002151808023369713
227582_at,0.0021286211963634535
244778_x_at,0.002118136812971743
204270_at,0.0021160753466381403
202074_s_at,0.002112522971291771
225571_at,0.002092012298699343
1569302_at,0.0020834794880914436
220615_s_at,0.002063889353980449
225239_at,0.0020334510752033075
244197_x_at,0.0020083962445012634
203266_s_at,0.002000032101062654
217786_at,0.0019982297393753685
218377_s_at,0.0019460193551975257
224771_at,0.0019282828604454433
218328_at,0.0019079560863150273
226675_s_at,0.0018998361515409103
1562935_at,0.0018916221538354677
231015_at,0.0018842490548007412
230629_s_at,0.001870122780594763
235213_at,0.0018613915176248393
235119_at,0.0018607921087814517
223460_at,0.0018469193081337933
201502_s_at,0.00183692031634194
204355_at,0.001830231418375176
205787_x_at,0.0018252765159600109
203605_at,0.001820645038588934
209001_s_at,0.001797196324537164
214577_at,0.0017918952256157077
230392_at,0.0017875341667135153
236488_s_at,0.0017670642204862153
202309_at,0.0017391733703979455
209026_x_at,0.001732443390922072
217817_at,0.0017170935424309598
237790_at,0.0017067091489440579
212177_at,0.0017028529884029044
222425_s_at,0.0016904136495378324
222620_s_at,0.001683739933846431
242366_at,0.0016769752442549672
241893_at,0.0016620130664495726
215789_s_at,0.0016561117101780692
228027_at,0.0016297226910640934
209424_s_at,0.0016246813482722622
229776_at,0.0016161883387217546
209163_at,0.0016023640902264324
228541_x_at,0.001577621513583536
235640_at,0.0015725882409977005
205550_s_at,0.0015722412911330045
1554863_s_at,0.0015675221667605615
227062_at,0.0015456050451925763
239649_at,0.0014989383113700734
243988_at,0.0014983895415759169
208977_x_at,0.0014928801063446805
201387_s_at,0.0014877167493090645
1559101_at,0.0014868910845351304
209258_s_at,0.001466465618893196
229656_s_at,0.001465211764392955
1555931_at,0.0014599049830223553
201415_at,0.0014575146119508984
205738_s_at,0.0014289622977215594
207170_s_at,0.0014214885632025615
243233_at,0.0014139246192217078
221831_at,0.001386176318777128
43427_at,0.001346784375948746
209104_s_at,0.0013460183793177962
204905_s_at,0.00133663594672412
224523_s_at,0.0013363013613473898
238078_at,0.0013286920855162688
1562529_s_at,0.0013227173493222145
218263_s_at,0.00130929988504886
1559515_at,0.0013062890283582033
200811_at,0.0013051948285253032
218609_s_at,0.0013042618756904482
204977_at,0.0013034533872258408
1553313_s_at,0.0012669010194881745
201600_at,0.0012662944651735553
200875_s_at,0.0012644048483072263
236338_at,0.0012642194705541187
229663_at,0.0012588555895994068
220155_s_at,0.0012482434205382572
201837_s_at,0.0012346464956569526
218415_at,0.001228864342908146
226879_at,0.0012236075295589156
224628_at,0.0012179402029323576
222513_s_at,0.0012170926863571952
202942_at,0.0011946602274985707
211983_x_at,0.0011905120356468953
1555272_at,0.0011885941080651001
227260_at,0.0011879675375784983
202868_s_at,0.0011870913228220873
208549_x_at,0.001182003776453619
202178_at,0.001181559850598306
201481_s_at,0.0011661404397424325
239179_at,0.001161097072885934
244610_x_at,0.0011603251543550856
201090_x_at,0.0011592807031508372
212119_at,0.0011576169425316673
218133_s_at,0.0011547921207077133
217964_at,0.0011530111287116117
212411_at,0.0011505915706232846
230923_at,0.0011448461771184318
208835_s_at,0.0011438088459697206
235592_at,0.001140718480139096
208969_at,0.0011389434638688694
237560_at,0.0011378238598941878
209014_at,0.001136694176186403
224878_at,0.0011355766770322782
1555950_a_at,0.0011320216941013252
214170_x_at,0.0011302113247787873
201142_at,0.0011247675170621017
222395_s_at,0.0011220286337244535
1568603_at,0.001120657623800594
233216_at,0.001115903866429314
227068_at,0.0011157679407903924
38398_at,0.001114304746215717
1558922_at,0.0011090073596112236
225733_at,0.0011082313647728555
220966_x_at,0.0011064123207467481
236704_at,0.001100901452137494
228763_at,0.0011001881718456792
213726_x_at,0.001091648053682245
229961_x_at,0.0010905700269422344
229677_at,0.0010898513499937531
242239_at,0.0010881472045412364
231281_at,0.0010880778678620502
219134_at,0.0010812895016264663
225799_at,0.0010696147467739016
242299_at,0.0010672055347115093
200802_at,0.0010638300362005241
226062_x_at,0.0010614508565789512
1569129_s_at,0.0010603592458294463
201341_at,0.001060114357619279
201410_at,0.001059795110901426
201828_x_at,0.001055839711273375
223145_s_at,0.0010514544188045209
201345_s_at,0.0010492231735638323
236081_at,0.0010471163459541404
224738_x_at,0.0010433592464952506
227944_at,0.0010430177429623275
200955_at,0.0010425326430461403
201519_at,0.0010421719464993144
211714_x_at,0.0010410332857928597
225493_at,0.0010398857987591649
225742_at,0.001035152882850611
209265_s_at,0.001026938777169159
201900_s_at,0.0010224011421337581
241769_at,0.0010216110773025218
211546_x_at,0.0010188973324103256
203909_at,0.001015424145837418
1568604_a_at,0.001013594349034131
226377_at,0.001009652402361468
221908_at,0.0010039973459590311
241215_at,0.0010011597922931937
216080_s_at,0.0009967785646941931
202838_at,0.0009946374842560275
208598_s_at,0.000994446546263189
213015_at,0.0009889600689415544
203264_s_at,0.0009883408987346736
218664_at,0.0009879766148259506
242428_at,0.000986402807872503
226999_at,0.000984496544020353
214415_at,0.0009778733391643233
219193_at,0.0009768604691871104
202242_at,0.0009756312473019399
215535_s_at,0.0009755319511588272
202279_at,0.0009750601990668935
222380_s_at,0.0009723034913439346
201313_at,0.0009707916145200295
1561167_at,0.0009685897438217217
208722_s_at,0.0009660775830303459
202737_s_at,0.0009635443977097574
214439_x_at,0.0009612374682509095
1555824_a_at,0.0009602592358553757
209225_x_at,0.000960006817568912
221476_s_at,0.0009561693272950699
221504_s_at,0.000956014343826573
208308_s_at,0.0009518215458416539
212068_s_at,0.0009511310111249766
227847_at,0.0009452037764612536
222264_at,0.0009442217606346479
1559391_s_at,0.0009439193319844639
200697_at,0.000937625542569808
200843_s_at,0.000933832996358833
204465_s_at,0.0009310507253081921
204229_at,0.0009305431746538601
201174_s_at,0.0009237545342562396
206118_at,0.0009109176514574484
234788_x_at,0.0009037554727964803
225446_at,0.0009018049617077026
201648_at,0.0008973500923895439
223193_x_at,0.0008934088827038603
212581_x_at,0.0008927674554939177
237475_x_at,0.000891781635592018
200758_s_at,0.0008912268469780474
