gene,abs_coef,rank_abs_coef,importance_mean,rank_perm,rank_combined
212961_x_at,0.0056022815353394895,1606,0.0,1716,1661.0
208758_at,0.008965404129914284,1359,0.0,1965,1662.0
209251_x_at,0.009063509205448489,1355,0.0,1974,1664.5
212059_s_at,0.004110067703054676,1733,0.0,1599,1666.0
209194_at,0.009080333867310343,1350,0.0,1984,1667.0
214902_x_at,0.004897452167325285,1652,0.0,1687,1669.5
200955_at,0.0016158789283862228,1906,0.0,1435,1670.5
201154_x_at,0.00047017657855795387,1966,0.0,1377,1671.5
201076_at,0.001068220157514415,1934,0.0,1420,1677.0
1566093_at,0.0018033018554376684,1889,0.0,1466,1677.5
214739_at,0.004208691194062799,1720,0.0,1636,1678.0
214306_at,0.004788290236079312,1668,0.0,1689,1678.5
208308_s_at,0.00614345740528791,1561,0.0,1802,1681.5
210156_s_at,0.007662249699620651,1455,0.0,1909,1682.0
205690_s_at,0.007185479410005465,1500,0.0,1866,1683.0
214687_x_at,0.004132548730345365,1727,0.0,1642,1684.5
200960_x_at,0.0010294208101200267,1938,0.0,1434,1686.0
200877_at,0.00010268922088978595,1992,0.0,1382,1687.0
204863_s_at,0.006516296177006273,1543,0.0,1834,1688.5
208906_at,0.007978805347151143,1427,0.0,1950,1688.5
210547_x_at,0.007607799914033586,1463,0.0,1918,1690.5
206384_at,0.00660597152404041,1535,0.0,1848,1691.5
200982_s_at,0.0005369918457177136,1959,0.0,1426,1692.5
206042_x_at,0.006670484224619982,1534,0.0,1856,1695.0
206906_at,0.005391671895900035,1617,0.0,1774,1695.5
209092_s_at,0.008447496837652915,1397,0.0,1995,1696.0
207088_s_at,0.005209450962497432,1629,0.0,1767,1698.0
208799_at,0.007897620815015343,1437,0.0,1960,1698.5
213318_s_at,0.004437975627432977,1699,0.0,1698,1698.5
201030_x_at,0.00037536895121765136,1975,0.0,1423,1699.0
208709_s_at,0.006784262766411308,1527,0.0,1875,1701.0
200699_at,0.001031659096192131,1937,0.0,1473,1705.0
209132_s_at,0.008061483446888245,1422,0.0,1992,1707.0
208696_at,0.005214123834390783,1627,0.0,1788,1707.5
214762_at,0.003371531528165195,1784,0.0,1635,1709.5
206015_s_at,0.006086394589021548,1565,0.0,1857,1711.0
211615_s_at,0.0027871813970210364,1827,0.0,1597,1712.0
208678_at,0.005070532142756003,1639,0.0,1792,1715.5
209248_at,0.007610373358335069,1462,0.0,1976,1719.0
208977_x_at,0.00739104271017802,1481,0.0,1969,1725.0
209384_at,0.006343841036940146,1553,0.0,1900,1726.5
213555_at,0.0043176675060895625,1709,0.0,1745,1727.0
208761_s_at,0.00726179931822304,1493,0.0,1964,1728.5
200629_at,0.0004461472263915013,1970,0.0,1488,1729.0
212716_s_at,0.0014901634391776355,1912,0.0,1546,1729.0
212361_s_at,0.0005172196985887223,1960,0.0,1506,1733.0
212880_at,0.0025394032480722715,1845,0.0,1625,1735.0
209818_s_at,0.0059193913719102,1581,0.0,1890,1735.5
208598_s_at,0.004712907791709306,1676,0.0,1800,1738.0
210766_s_at,0.0018203805180957828,1887,0.0,1592,1739.5
212891_s_at,0.00048394843931779557,1964,0.0,1518,1741.0
209225_x_at,0.00713977736235536,1504,0.0,1980,1742.0
208687_x_at,0.004454032481720079,1697,0.0,1789,1743.0
210222_s_at,0.006388030089574025,1552,0.0,1936,1744.0
214170_x_at,0.003680277847290282,1767,0.0,1723,1745.0
206342_x_at,0.004963333564695287,1644,0.0,1851,1747.5
207827_x_at,0.00422483277507397,1716,0.0,1785,1750.5
213726_x_at,0.0036956643353935697,1765,0.0,1737,1751.0
207758_at,0.003723464988155675,1758,0.0,1755,1756.5
211776_s_at,0.001720318128706207,1899,0.0,1614,1756.5
212159_x_at,0.00012477390171905447,1991,0.0,1527,1759.0
208928_at,0.006032602431227168,1571,0.0,1947,1759.0
211710_x_at,0.001707869512153933,1900,0.0,1620,1760.0
207232_s_at,0.0037030375409560575,1764,0.0,1763,1763.5
208857_s_at,0.005936017321644079,1576,0.0,1953,1764.5
208909_at,0.005906561500248774,1583,0.0,1949,1766.0
210418_s_at,0.00554828621823729,1609,0.0,1926,1767.5
211752_s_at,0.0012031689835943836,1925,0.0,1616,1770.5
205376_at,0.004462865181186597,1696,0.0,1845,1770.5
207721_x_at,0.0031752004963997863,1797,0.0,1757,1777.0
210460_s_at,0.005160408654439812,1632,0.0,1923,1777.5
205702_at,0.004503628325272253,1691,0.0,1865,1778.0
208833_s_at,0.005611591521536258,1603,0.0,1957,1780.0
214432_at,0.0015372690468299917,1910,0.0,1651,1780.5
214728_x_at,0.0010218593622813652,1939,0.0,1639,1789.0
214736_s_at,0.0007639218433094386,1949,0.0,1638,1793.5
205738_s_at,0.004088004403833662,1736,0.0,1863,1799.5
208644_at,0.002947176868709338,1814,0.0,1793,1803.5
210532_s_at,0.004514554761039498,1690,0.0,1919,1804.5
208969_at,0.004783594264335903,1669,0.0,1942,1805.5
207791_s_at,0.0025979770904433525,1841,0.0,1783,1812.0
209163_at,0.005118406142165933,1637,0.0,1988,1812.5
207730_x_at,0.0020553671997635137,1871,0.0,1756,1813.5
209227_at,0.004855563348504758,1660,0.0,1979,1819.5
209421_at,0.003959038917250551,1747,0.0,1899,1823.0
215069_at,0.0004626846195467329,1967,0.0,1681,1824.0
207093_s_at,0.0016772749866711216,1901,0.0,1753,1827.0
205711_x_at,0.003272732142150715,1791,0.0,1864,1827.5
210213_s_at,0.004209634104123427,1719,0.0,1937,1828.0
210364_at,0.004130739059177098,1728,0.0,1931,1829.5
210130_s_at,0.00391151524714586,1751,0.0,1908,1829.5
206169_x_at,0.003055044875814983,1806,0.0,1853,1829.5
204720_s_at,0.0029195275421600294,1817,0.0,1843,1830.0
209839_at,0.0034909524418563127,1779,0.0,1889,1834.0
204793_at,0.002666233261135043,1837,0.0,1837,1837.0
208137_x_at,0.0020456626032811353,1874,0.0,1806,1840.0
214176_s_at,0.0005120487183810369,1961,0.0,1721,1841.0
209755_at,0.003257904487296802,1792,0.0,1891,1841.5
208714_at,0.002981788528741657,1810,0.0,1876,1843.0
208968_s_at,0.004028300263627542,1743,0.0,1943,1843.0
213787_s_at,0.00043948954868108846,1971,0.0,1732,1851.5
206374_at,0.0023104392720947153,1854,0.0,1849,1851.5
208778_s_at,0.0040342396034669355,1741,0.0,1962,1851.5
208621_s_at,0.0016037494383087788,1907,0.0,1798,1852.5
205092_x_at,0.0018165641013494556,1888,0.0,1824,1856.0
209566_at,0.0026802920720250876,1834,0.0,1892,1863.0
207144_s_at,0.0004104226970092519,1973,0.0,1765,1869.0
210598_at,0.002811966272233441,1825,0.0,1915,1870.0
208870_x_at,0.0032803336395516684,1790,0.0,1952,1871.0
209991_x_at,0.00221072996167201,1863,0.0,1882,1872.5
210448_s_at,0.0028386866311366334,1824,0.0,1924,1874.0
209382_at,0.002476239509464342,1848,0.0,1901,1874.5
205257_s_at,0.0011891160187657837,1927,0.0,1822,1874.5
208635_x_at,0.0006439079254324973,1954,0.0,1796,1875.0
209249_s_at,0.003399311783627225,1782,0.0,1975,1878.5
210415_s_at,0.002696720540536828,1832,0.0,1927,1879.5
208811_s_at,0.0029507745113467295,1813,0.0,1959,1886.0
208781_x_at,0.0027743375959383277,1828,0.0,1961,1894.5
209180_at,0.0031137270971169557,1803,0.0,1986,1894.5
210501_x_at,0.002022039411092047,1878,0.0,1921,1899.5
205594_at,0.000872062733245039,1947,0.0,1868,1907.5
204892_x_at,0.00024286821066463703,1983,0.0,1833,1908.0
205787_x_at,0.0003435466559079791,1979,0.0,1861,1920.0
208771_s_at,0.0019870893966385038,1881,0.0,1963,1922.0
209219_at,0.0017901206332184667,1890,0.0,1982,1936.0
210338_s_at,0.0001661236506055116,1988,0.0,1933,1960.5
209058_at,0.0005516379278672755,1958,0.0,1997,1977.5
209026_x_at,0.00019886871926596932,1987,0.0,1999,1993.0
