gene,abs_coef,rank_abs_coef,importance_mean,rank_perm,rank_combined,mean_abs_shap
215789_s_at,0.0647920005939502,47,0.0,338,192.5,0.001656111710178
223460_at,0.0335729539445596,324,0.0,114,219.0,0.0018469193081337
223272_s_at,0.0328581987264102,343,0.0,123,233.0,0.0026579147424998
227582_at,0.0348595108493271,304,0.0,186,245.0,0.0021286211963634
228027_at,0.029811917538867,405,0.0,173,289.0,0.001629722691064
218328_at,0.0335487715552148,326,0.0,259,292.5,0.001907956086315
224689_at,0.0233949824285894,612,0.0,3,307.5,0.0036282909840776
